Player,To,Transfer Fee,Season,Transfer Type
Neal Maupay,Brighton,19.80,2019-20,Direct
Ezri Konsa,Aston Villa,11.97,2019-20,Direct
Romaine Sawyers,West Brom,2.88,2019-20,Direct
Daniel Bentley,Bristol City,1.98,2019-20,Direct
Lewis MacLeod,Wigan,,2019-20,Free transfer
Jack Bonham,Gillingham FC,,2019-20,Free transfer
Patrik Gunnarsson,Southend United,,2019-20,Loan
Yoann Barbet,QPR,,2019-20,Free transfer
Moses Odubajo,Sheff Wed,,2019-20,Free transfer
Marcus Forss,AFC Wimbledon,,2019-20,Loan
Emiliano Marcondes,FC Midtjylland,,2019-20,Loan
Chiedozie Ogbene,Rotherham,,2019-20,Direct
Mads Bech Sörensen,AFC Wimbledon,,2019-20,Loan
Tom Field,Dundee FC,,2019-20,Direct
Ellery Balcombe,Viborg FF,,2019-20,Loan
Josh McEachran,Without Club,,2019-20,Direct
Josh Clarke,Without Club,,2019-20,Direct
Chris Mepham,Bournemouth,12.24,2018-19,Direct
Ryan Woods,Stoke City,6.53,2018-19,Direct
Nico Yennaris,BJ Sinobo Guoan,4.95,2018-19,Direct
John Egan,Sheffield Utd.,4.05,2018-19,Direct
Florian Jozefzoon,Derby,2.79,2018-19,Direct
Konstantin Kerschbaumer,FC Ingolstadt,0.900,2018-19,Direct
Andreas Bjelland,FC Copenhagen,,2018-19,Free transfer
Ilias Chatzitheodoridis,Panathinaikos,,2018-19,Free transfer
Jack Bonham,Bristol Rovers,,2018-19,Loan
Tom Field,Cheltenham,,2018-19,Loan
Chiedozie Ogbene,Exeter City,,2018-19,Loan
Josh Clarke,Burton Albion,,2018-19,Loan
Alan Judge,Ipswich,,2018-19,Direct
Justin Shaibu,Boreham Wood,,2018-19,Loan
Ellery Balcombe,Boreham Wood,,2018-19,Loan
Ryan Woods,Stoke City,,2018-19,Loan
Jota,Birmingham,5.85,2017-18,Direct
Maxime Colin,Birmingham,2.93,2017-18,Direct
Lasse Vibe,CC Yatai,2.04,2017-18,Direct
Harlee Dean,Birmingham,1.94,2017-18,Direct
Akaki Gogia,Dynamo Dresden,0.675,2017-18,Direct
Philipp Hofmann,Greuther Fürth,0.225,2017-18,Direct
Ilias Chatzitheodoridis,Cheltenham,,2017-18,Loan
Alan McCormack,Luton,,2017-18,Free transfer
Jack Bonham,Carlisle United,,2017-18,Loan
Justin Shaibu,Walsall,,2017-18,Loan
Konstantin Kerschbaumer,Arm. Bielefeld,,2017-18,Loan
Tom Field,Bradford,,2017-18,Loan
Scott Hogan,Aston Villa,9.45,2016-17,Direct
David Button,Fulham,2.07,2016-17,Direct
Jake Bidwell,QPR,1.44,2016-17,Direct
Emmanuel Ledesma,Panetolikos,,2016-17,Free transfer
Sam Saunders,Wycombe,,2016-17,Free transfer
Jermaine Udumaga,Prespa Birlik,,2016-17,Free transfer
Aaron Greene,AFC Sudbury,,2016-17,Free transfer
Mark Smith,Aldershot Town,,2016-17,Free transfer
Akaki Gogia,Dynamo Dresden,,2016-17,Loan
Jack O'Connell,Sheffield Utd.,,2016-17,Direct
Sullay Kaikai,Crystal Palace,,2016-17,End of loan
Callum Elder,Leicester,,2016-17,End of loan
Andre Gray,Burnley,11.16,2015-16,Direct
Moses Odubajo,Hull City,4.50,2015-16,Direct
James Tarkowski,Burnley,3.60,2015-16,Direct
Stuart Dallas,Leeds,1.71,2015-16,Direct
Will Grigg,Wigan,1.27,2015-16,Direct
Toumani Diagouraga,Leeds,0.711,2015-16,Direct
Nick Proschwitz,SC Paderborn,,2015-16,Free transfer
Alfie Mawson,Barnsley FC,,2015-16,Free transfer
Tony Craig,Millwall,,2015-16,Free transfer
Jonathan Douglas,Ipswich,,2015-16,Free transfer
Josh Laurent,Newport County,,2015-16,Loan
Lionel Stone,Waltham Forest,,2015-16,Free transfer
Aaron Greene,Boston United,,2015-16,Loan
Emmanuel Oyeleke,Exeter City,,2015-16,Free transfer
Mark Smith,Lowestoft,,2015-16,Loan
Ryan Williams,Inverness Cal.,,2015-16,Free transfer
Josh Laurent,Hartlepool Utd.,,2015-16,Free transfer
Mark Smith,Hampton & Rich.,,2015-16,Loan
Jermaine Udumaga,Wycombe,,2015-16,Loan
Mark Smith,Hampton & Rich.,,2015-16,Loan
Josh Clarke,Barnet,,2015-16,Loan
Marcos Tébar,UE Llagostera,,2015-16,Free transfer
Jota,SD Eibar,,2015-16,Loan
Tommy Cooney,Scarborough Athletic,,2015-16,Direct
Louis Hutton,Without Club,,2015-16,Direct
Tommy Smith,Retired,,2015-16,Direct
Kevin O'Connor,Retired,,2015-16,Direct
