Round_Number,Position,Points,Goals_Scored,Season
1,20,0,0,2019-20
2,14,3,1,2019-20
3,12,4,2,2019-20
4,18,4,2,2019-20
5,19,4,2,2019-20
6,14,7,5,2019-20
7,18,7,5,2019-20
8,17,8,5,2019-20
9,14,11,8,2019-20
10,15,12,9,2019-20
11,17,12,9,2019-20
12,13,15,12,2019-20
13,12,18,15,2019-20
14,12,21,18,2019-20
15,13,21,18,2019-20
16,9,24,21,2019-20
17,8,27,22,2019-20
18,8,27,22,2019-20
19,7,30,29,2019-20
20,9,30,30,2019-20
21,7,33,32,2019-20
22,4,36,33,2019-20
23,6,37,34,2019-20
24,3,40,37,2019-20
25,5,40,37,2019-20
26,4,43,41,2019-20
27,3,46,44,2019-20
28,5,47,44,2019-20
29,5,47,44,2019-20
30,5,50,49,2019-20
31,5,53,52,2019-20
32,4,54,53,2019-20
33,4,55,54,2019-20
34,4,56,56,2019-20
35,5,56,57,2019-20
36,5,57,59,2019-20
37,4,60,64,2019-20
38,4,63,66,2019-20
39,3,66,67,2019-20
40,3,69,70,2019-20
41,3,72,73,2019-20
42,3,75,75,2019-20
43,3,78,78,2019-20
44,3,81,79,2019-20
45,3,81,79,2019-20
46,3,81,80,2019-20
