,Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Minutes Played,Goals,Assists,Penalty Kicks,Penalties Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals+Assists/90,Goals-Penalties/90,Goals+Assists-Penalties/90
0,1,Josh Davison,eng ENG,FW,Charlton Ath,,,9,5,393,1,0,0,0,0,0,0.23,0.0,0.23,0.23,0.23
1,2,Charlie Adam,sco SCO,MF,Reading,33.0,1985.0,21,8,782,2,1,1,1,4,0,0.23,0.12,0.35,0.12,0.23
2,3,Tosin Adarabioyo,eng ENG,DF,Blackburn,21.0,1997.0,34,33,2966,3,1,0,0,0,0,0.09,0.03,0.12,0.09,0.12
3,4,Albert Adomah,gh GHA,MFFW,Cardiff City,31.0,1987.0,9,9,733,0,2,0,0,2,0,0.0,0.25,0.25,0.0,0.25
4,5,Albert Adomah,gh GHA,MF,Nott'ham Forest,31.0,1987.0,24,5,612,2,1,0,0,2,0,0.29,0.15,0.44,0.29,0.44
5,6,Benik Afobe,cd COD,FW,Bristol City,26.0,1993.0,12,8,739,3,0,1,1,0,0,0.37,0.0,0.37,0.24,0.24
6,7,Benik Afobe,cd COD,FW,Stoke City,26.0,1993.0,1,1,70,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7,8,Semi Ajayi,ng NGA,DF,West Brom,25.0,1993.0,43,42,3783,5,0,0,0,5,0,0.12,0.0,0.12,0.12,0.12
8,9,Ezgjan Alioski,mk MKD,DFMF,Leeds United,27.0,1992.0,39,21,2262,5,3,0,0,8,0,0.2,0.12,0.32,0.2,0.32
9,10,Joe Allen,wal WAL,MF,Stoke City,29.0,1990.0,35,34,2938,4,2,0,0,5,1,0.12,0.06,0.18,0.12,0.18
10,11,Sone Aluko,ng NGA,FWMF,Reading,30.0,1989.0,2,0,41,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
11,12,Sammy Ameobi,eng ENG,MFFW,Nott'ham Forest,27.0,1992.0,45,37,3095,5,7,0,0,7,0,0.15,0.2,0.35,0.15,0.35
12,13,Luke Amos,eng ENG,MF,QPR,22.0,1997.0,34,26,2111,2,0,0,0,5,0,0.09,0.0,0.09,0.09,0.09
13,14,Chuks Aneke,eng ENG,FW,Charlton Ath,26.0,1993.0,20,2,589,1,1,0,0,2,0,0.15,0.15,0.31,0.15,0.31
14,15,Felipe Araruna,br BRA,MF,Reading,23.0,1996.0,3,2,163,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15,16,Adam Armstrong,eng ENG,MFFW,Blackburn,22.0,1997.0,46,40,3471,16,6,2,2,0,0,0.41,0.16,0.57,0.36,0.52
16,17,Harry Arter,ie IRL,MF,Fulham,29.0,1989.0,28,21,1724,2,1,0,0,7,1,0.1,0.05,0.16,0.1,0.16
17,18,Britt Assombalonga,cd COD,FW,Middlesbrough,26.0,1992.0,35,27,2511,11,2,1,2,2,0,0.39,0.07,0.47,0.36,0.43
18,19,Jean-Kévin Augustin,fr FRA,FW,Leeds United,22.0,1997.0,3,0,51,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
