Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Bournemouth,46,26,12,8,98,45,53,90,"10,265",Callum Wilson - 20,Artur Boruc,Promoted
2,Watford,46,27,8,11,91,50,41,89,"16,664",Troy Deeney - 21,Heurelho Gomes,Promoted
3,Norwich City,46,25,11,10,88,48,40,86,"26,169",Cameron Jerome - 18,John Ruddy,"Promoted, → Semi-finals"
4,Middlesbrough,46,25,10,11,68,37,31,85,"19,562",Patrick Bamford - 17,Dimitrios Konstantopoulos,→ Semi-finals
5,Brentford,46,23,9,14,78,59,19,78,"10,822",Andre Gray - 16,David Button,→ Semi-finals
6,Ipswich Town,46,22,12,12,72,54,18,78,"19,603",Daryl Murphy - 27,Bartosz Białkowski,→ Semi-finals
7,Wolves,46,22,12,12,70,56,14,78,"22,419",Bakary Sako - 15,Carl Ikeme,
8,Derby County,46,21,14,11,85,56,29,77,"29,232",Chris Martin - 18,Lee Grant,
9,Blackburn,46,17,16,13,66,59,7,67,"14,912",Jordan Rhodes - 21,Jason Steele,
10,Birmingham City,46,16,15,15,54,64,-10,63,"16,111",Clayton Donaldson - 15,Darren Randolph,
11,Cardiff City,46,16,14,16,57,61,-4,62,"21,124",Kenwyne Jones - 11,David Marshall,
12,Charlton Ath,46,14,18,14,54,60,-6,60,"16,708",Igor Vetokele - 11,Stephen Henderson,
13,Sheffield Weds,46,14,18,14,43,49,-6,60,"21,993","Atdhe Nuhiu, Chris Maguire - 8",Keiren Westwood,
14,Nott'ham Forest,46,15,14,17,71,69,2,59,"23,492",Britt Assombalonga - 15,Karl Darlow,
15,Leeds United,46,15,11,20,50,61,-11,56,"24,052",Mirco Antenucci - 10,Marco Silvestri,
16,Huddersfield,46,13,16,17,58,75,-17,55,"13,613",Nahki Wells - 11,Alex Smithies,
17,Fulham,46,14,10,22,62,83,-21,52,"18,276",Ross McCormack - 17,Marcus Bettinelli,
18,Bolton,46,13,12,21,54,67,-13,51,"15,413",Adam le Fondre - 8,Andy Lonergan,
19,Reading,46,13,11,22,48,69,-21,50,"17,022","Glenn Murray, Simon Cox - 8",Adam Federici,
20,Brighton,46,10,17,19,44,54,-10,47,"25,645",João Carlos Teixeira - 6,David Stockdale,
21,Rotherham Utd,46,11,16,19,46,67,-21,46,"10,240",Matt Derbyshire - 9,Adam Collin,3-point deduction 1
22,Millwall,46,9,14,23,42,76,-34,41,"10,902",Lee Gregory - 9,David Forde,Relegated
23,Wigan Athletic,46,9,12,25,39,64,-25,39,"12,882",James McClean - 6,Scott Carson,Relegated
24,Blackpool,46,4,14,28,36,91,-55,26,"11,172",Steve Davies - 5,Joe Lewis,Relegated
