Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2018-08-03,20:00 (00:30),Reading,1–2,Derby County,16923,Madejski Stadium,Robert Jones,Match Report,
1,Sat,2018-08-04,15:00 (19:30),Wigan Athletic,3–2,Sheffield Weds,14207,The DW Stadium,Tim Robinson,Match Report,
1,Sat,2018-08-04,15:00 (19:30),Ipswich Town,2–2,Blackburn,18940,Portman Road Stadium,Andrew Davies,Match Report,
1,Sat,2018-08-04,15:00 (19:30),Brentford,5–1,Rotherham Utd,10297,Griffin Park,Oliver Langford,Match Report,
1,Sat,2018-08-04,15:00 (19:30),Bristol City,1–1,Nott'ham Forest,22395,Ashton Gate Stadium,Darren Bond,Match Report,
1,Sat,2018-08-04,15:00 (19:30),Birmingham City,2–2,Norwich City,22677,St Andrew's Trillion Trophy Stadium,Peter Bankes,Match Report,
1,Sat,2018-08-04,15:00 (19:30),West Brom,1–2,Bolton,25901,The Hawthorns,Geoff Eltringham,Match Report,
1,Sat,2018-08-04,15:00 (19:30),Millwall,2–2,Middlesbrough,15056,The Den,Kevin Friend,Match Report,
1,Sat,2018-08-04,15:00 (19:30),Preston,1–0,QPR,13418,Deepdale Stadium,Darren England,Match Report,
1,Sat,2018-08-04,17:30 (22:00),Sheffield Utd,1–2,Swansea City,24654,Bramall Lane,Jeremy Simpson,Match Report,
1,Sun,2018-08-05,16:30 (21:00),Leeds United,3–1,Stoke City,34126,Elland Road,Scott Duncan,Match Report,
1,Mon,2018-08-06,19:45 (00:15),Hull City,1–3,Aston Villa,14071,Kingston Communications Stadium,Andy Madley,Match Report,
,,,,,,,,,,,
4,Tue,2018-08-07,19:45 (00:15),Middlesbrough,3–0,Sheffield Utd,22960,Riverside Stadium,Robert Jones,Match Report,
4,Tue,2018-08-07,19:45 (00:15),Nott'ham Forest,1–1,West Brom,27850,The City Ground,Darren England,Match Report,
,,,,,,,,,,,
2,Sat,2018-08-11,15:00 (19:30),Swansea City,1–0,Preston,19352,Liberty Stadium,James Linington,Match Report,
2,Sat,2018-08-11,15:00 (19:30),Norwich City,3–4,West Brom,25144,Carrow Road,Lee Mason,Match Report,
2,Sat,2018-08-11,15:00 (19:30),Blackburn,0–0,Millwall,13239,Ewood Park,Gavin Ward,Match Report,
2,Sat,2018-08-11,15:00 (19:30),Sheffield Weds,1–1,Hull City,23416,Hillsborough Stadium,Stuart Attwell,Match Report,
2,Sat,2018-08-11,15:00 (19:30),Stoke City,1–1,Brentford,24806,Bet365 Stadium,Andrew Davies,Match Report,
2,Sat,2018-08-11,15:00 (19:30),Middlesbrough,1–0,Birmingham City,23748,Riverside Stadium,Andy Madley,Match Report,
2,Sat,2018-08-11,15:00 (19:30),Rotherham Utd,1–0,Ipswich Town,9460,New York Stadium,David Webb,Match Report,
2,Sat,2018-08-11,15:00 (19:30),Aston Villa,3–2,Wigan Athletic,34331,Villa Park,Jeremy Simpson,Match Report,
2,Sat,2018-08-11,15:00 (19:30),Bolton,2–2,Bristol City,14112,Macron Stadium,John Brooks,Match Report,
2,Sat,2018-08-11,15:00 (19:30),QPR,1–2,Sheffield Utd,14128,Loftus Road Stadium,Scott Duncan,Match Report,
2,Sat,2018-08-11,15:00 (19:30),Nott'ham Forest,1–0,Reading,27948,Ewood Park,Steve Martin,Match Report,
2,Sat,2018-08-11,17:30 (22:00),Derby County,1–4,Leeds United,27311,iPro Stadium,Peter Bankes,Match Report,
,,,,,,,,,,,
3,Fri,2018-08-17,19:45 (00:15),Birmingham City,0–0,Swansea City,20083,St Andrew's Trillion Trophy Stadium,Darren England,Match Report,
3,Sat,2018-08-18,15:00 (19:30),Ipswich Town,1–1,Aston Villa,17824,Portman Road Stadium,Tim Robinson,Match Report,
3,Sat,2018-08-18,15:00 (19:30),Millwall,2–1,Derby County,13557,The Den,Steve Martin,Match Report,
3,Sat,2018-08-18,15:00 (19:30),Leeds United,2–0,Rotherham Utd,33699,Elland Road,Robert Jones,Match Report,
3,Sat,2018-08-18,15:00 (19:30),Reading,0–1,Bolton,13318,Madejski Stadium,James Linington,Match Report,
3,Sat,2018-08-18,15:00 (19:30),Bristol City,0–2,Middlesbrough,19455,Ashton Gate Stadium,Oliver Langford,Match Report,
3,Sat,2018-08-18,15:00 (19:30),Hull City,0–1,Blackburn,12233,Kingston Communications Stadium,David Coote,Match Report,
3,Sat,2018-08-18,15:00 (19:30),West Brom,7–1,QPR,22753,The Hawthorns,Tony Harrington,Match Report,
3,Sat,2018-08-18,15:00 (19:30),Wigan Athletic,2–2,Nott'ham Forest,11543,The DW Stadium,Geoff Eltringham,Match Report,
3,Sat,2018-08-18,15:00 (19:30),Sheffield Utd,2–1,Norwich City,23850,Bramall Lane,Darren Bond,Match Report,
3,Sat,2018-08-18,17:30 (22:00),Preston,2–2,Stoke City,13996,Deepdale Stadium,Andy Madley,Match Report,
3,Sun,2018-08-19,15:00 (19:30),Brentford,2–0,Sheffield Weds,10134,Griffin Park,David Webb,Match Report,
,,,,,,,,,,,
4,Tue,2018-08-21,19:45 (00:15),Swansea City,2–2,Leeds United,20860,Liberty Stadium,Andrew Davies,Match Report,
4,Tue,2018-08-21,19:45 (00:15),Derby County,2–0,Ipswich Town,24362,iPro Stadium,Scott Duncan,Match Report,
4,Tue,2018-08-21,19:45 (00:15),Rotherham Utd,2–3,Hull City,8962,New York Stadium,Jeremy Simpson,Match Report,
4,Tue,2018-08-21,19:45 (00:15),QPR,0–3,Bristol City,11739,Loftus Road Stadium,Peter Bankes,Match Report,
4,Wed,2018-08-22,19:45 (00:15),Blackburn,2–2,Reading,11818,Ewood Park,Oliver Langford,Match Report,
4,Wed,2018-08-22,19:45 (00:15),Norwich City,2–0,Preston,24936,Carrow Road,Gavin Ward,Match Report,
4,Wed,2018-08-22,19:45 (00:15),Aston Villa,2–2,Brentford,30011,Villa Park,Jonathan Moss,Match Report,
4,Wed,2018-08-22,19:45 (00:15),Sheffield Weds,2–1,Millwall,21349,Hillsborough Stadium,Andy Madley,Match Report,
4,Wed,2018-08-22,20:00 (00:30),Bolton,1–0,Birmingham City,13821,Macron Stadium,Lee Probert,Match Report,
4,Wed,2018-08-22,20:00 (00:30),Stoke City,0–3,Wigan Athletic,23158,Bet365 Stadium,John Brooks,Match Report,
,,,,,,,,,,,
5,Fri,2018-08-24,19:45 (00:15),Middlesbrough,1–0,West Brom,22906,Riverside Stadium,John Brooks,Match Report,
5,Sat,2018-08-25,15:00 (19:30),QPR,1–0,Wigan Athletic,11564,Loftus Road Stadium,Steve Martin,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Derby County,2–0,Preston,25257,iPro Stadium,David Webb,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Bolton,0–3,Sheffield Utd,14848,Macron Stadium,Andy Madley,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Norwich City,0–3,Leeds United,25944,Carrow Road,Simon Hooper,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Blackburn,1–0,Brentford,12094,Ewood Park,Tony Harrington,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Stoke City,2–0,Hull City,23311,Bet365 Stadium,Darren Bond,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Swansea City,0–1,Bristol City,20522,Liberty Stadium,Gavin Ward,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Sheffield Weds,2–1,Ipswich Town,22499,Hillsborough Stadium,Jeremy Simpson,Match Report,
5,Sat,2018-08-25,17:00 (19:30),Aston Villa,1–1,Reading,33405,Villa Park tekonurmi,Darren England,Match Report,
5,Sat,2018-08-25,17:30 (22:00),Nott'ham Forest,2–2,Birmingham City,26799,The City Ground,Tim Robinson,Match Report,
5,Sun,2018-08-26,12:30 (17:00),Rotherham Utd,1–0,Millwall,8197,New York Stadium,Geoff Eltringham,Match Report,
,,,,,,,,,,,
6,Fri,2018-08-31,19:45 (00:15),Leeds United,0–0,Middlesbrough,35417,Elland Road,Tim Robinson,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Birmingham City,0–0,QPR,21155,St Andrew's Trillion Trophy Stadium,Jeremy Simpson,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Hull City,1–2,Derby County,12285,Kingston Communications Stadium,John Brooks,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Sheffield Utd,4–1,Aston Villa,26030,Bramall Lane,James Linington,Match Report,
