Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Leeds United,46,28,9,9,77,35,42,93,W W W W W,"35,321",Patrick Bamford - 16,Kiko Casilla,
2,West Brom,46,22,17,7,77,45,32,83,W D D L D,"24,053","Charlie Austin, Hal Robson-Kanu - 10",Sam Johnstone,
3,Brentford,46,24,9,13,80,38,42,81,W L L L W,"11,699",Ollie Watkins - 25,David Raya,
4,Fulham,46,23,12,11,64,48,16,81,D W D W L,"18,204",Aleksandar Mitrović - 26,Marek Rodák,
5,Cardiff City,46,19,16,11,68,58,10,73,W W W L W,"22,822",Lee Tomlin - 8,Alex Smithies,
6,Swansea City,46,18,16,12,62,53,9,70,D W W W L,"16,151",André Ayew - 15,Freddie Woodman,
7,Nott'ham Forest,46,18,16,12,58,50,8,70,L D D L L,"27,724",Lewis Grabban - 20,Brice Samba,
8,Millwall,46,17,17,12,57,51,6,68,L W W L W,"13,734",Matt Smith - 12,Bartosz Białkowski,
9,Preston,46,18,12,16,59,54,5,66,W D L W D,"13,579",Daniel Johnson - 12,Declan Rudd,
10,Derby County,46,17,13,16,62,64,-2,64,L L L L W,"26,727",Martyn Waghorn - 12,Ben Hamer,
11,Blackburn,46,17,12,17,66,63,3,63,W D L W L,"13,873",Adam Armstrong - 16,Christian Walton,
12,Bristol City,46,17,12,17,60,65,-5,63,W W D L D,"21,810",Famara Diedhiou - 12,Daniel Bentley,
13,QPR,46,16,10,20,67,76,-9,58,L L D W D,"13,721",Eberechi Eze - 14,Joe Lumley,
14,Reading,46,15,11,20,59,58,1,56,D W L L L,"14,407",Yakou Méïte - 13,Rafael Cabral,
15,Stoke City,46,16,8,22,62,68,-6,56,L W D W W,"22,828",Sam Clucas - 11,Jack Butland,
16,Sheffield Weds,46,15,11,20,58,66,-8,56,L W D L L,"23,733",Steven Fletcher - 13,Cameron Dawson,
17,Middlesbrough,46,13,14,19,48,61,-13,53,W L W L W,"19,933",Britt Assombalonga - 11,Aynsley Pears,
18,Huddersfield,46,13,12,21,52,70,-18,51,D L D W L,"21,748",Karlan Grant - 19,Kamil Grabara,
19,Luton Town,46,14,9,23,54,82,-28,51,D W D W W,"10,048",James Collins - 14,Simon Sluga,
20,Birmingham City,46,12,14,20,54,75,-21,50,L L D L L,"20,412",Lukas Jutkiewicz - 15,Lee Camp,
21,Barnsley,46,12,13,21,49,69,-20,49,D D L W W,"14,061",Cauley Woodrow - 14,Bradley Collins,
22,Charlton Ath,46,12,12,22,50,65,-15,48,L L D D L,"18,017","Macauley Bonne, Lyle Taylor - 11",Dillon Phillips,
23,Wigan Athletic,46,15,14,17,57,56,1,47,W D W D D,"10,592",Kieffer Moore - 10,David Marshall,12-point deduction 1
24,Hull City,46,12,9,25,57,87,-30,45,L L L L L,"11,553",Jarrod Bowen - 16,George Long,
