Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Minutes Played,Goals,Assists,Penalty Kicks,Penalties Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals+Assists/90,Goals-Penalties/90,Goals+Assists-Penalties/90
1,Josh Davison\Josh-Davison,eng ENG,FW,Charlton Ath,,,9,5,393,1,0,0,0,0,0,0.23,0,0.23,0.23,0.23
2,Charlie Adam\Charlie-Adam,sco SCO,MF,Reading,33,1985,21,8,782,2,1,1,1,4,0,0.23,0.12,0.35,0.12,0.23
3,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Blackburn,21,1997,34,33,2966,3,1,0,0,0,0,0.09,0.03,0.12,0.09,0.12
4,Albert Adomah\Albert-Adomah,gh GHA,MFFW,Cardiff City,31,1987,9,9,733,0,2,0,0,2,0,0,0.25,0.25,0,0.25
5,Albert Adomah\Albert-Adomah,gh GHA,MF,Nott'ham Forest,31,1987,24,5,612,2,1,0,0,2,0,0.29,0.15,0.44,0.29,0.44
6,Benik Afobe\Benik-Afobe,cd COD,FW,Bristol City,26,1993,12,8,739,3,0,1,1,0,0,0.37,0,0.37,0.24,0.24
7,Benik Afobe\Benik-Afobe,cd COD,FW,Stoke City,26,1993,1,1,70,0,0,0,0,0,0,0,0,0,0,0
8,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,25,1993,43,42,3783,5,0,0,0,5,0,0.12,0,0.12,0.12,0.12
9,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,27,1992,39,21,2262,5,3,0,0,8,0,0.2,0.12,0.32,0.2,0.32
10,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,29,1990,35,34,2938,4,2,0,0,5,1,0.12,0.06,0.18,0.12,0.18
11,Sone Aluko\Sone-Aluko,ng NGA,FWMF,Reading,30,1989,2,0,41,0,0,0,0,1,0,0,0,0,0,0
12,Sammy Ameobi\Sammy-Ameobi,eng ENG,MFFW,Nott'ham Forest,27,1992,45,37,3095,5,7,0,0,7,0,0.15,0.2,0.35,0.15,0.35
13,Luke Amos\Luke-Amos,eng ENG,MF,QPR,22,1997,34,26,2111,2,0,0,0,5,0,0.09,0,0.09,0.09,0.09
14,Chuks Aneke\Chuks-Aneke,eng ENG,FW,Charlton Ath,26,1993,20,2,589,1,1,0,0,2,0,0.15,0.15,0.31,0.15,0.31
15,Felipe Araruna\Felipe-Araruna,br BRA,MF,Reading,23,1996,3,2,163,0,0,0,0,0,0,0,0,0,0,0
16,Adam Armstrong\Adam-Armstrong,eng ENG,MFFW,Blackburn,22,1997,46,40,3471,16,6,2,2,0,0,0.41,0.16,0.57,0.36,0.52
17,Harry Arter\Harry-Arter,ie IRL,MF,Fulham,29,1989,28,21,1724,2,1,0,0,7,1,0.1,0.05,0.16,0.1,0.16
18,Britt Assombalonga\Britt-Assombalonga,cd COD,FW,Middlesbrough,26,1992,35,27,2511,11,2,1,2,2,0,0.39,0.07,0.47,0.36,0.43
19,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Leeds United,22,1997,3,0,51,0,0,0,0,0,0,0,0,0,0,0
20,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,30,1989,34,18,1508,10,2,4,4,5,0,0.6,0.12,0.72,0.36,0.48
21,Daniel Ayala\Daniel-Ayala,es ESP,DF,Middlesbrough,28,1990,25,23,2081,2,0,0,0,4,0,0.09,0,0.09,0.09,0.09
22,André Ayew\Andre-Ayew,gh GHA,MFFW,Swansea City,29,1989,44,43,3905,15,7,5,5,3,0,0.35,0.16,0.51,0.23,0.39
23,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,30,1988,1,0,17,0,0,0,0,0,0,0,0,0,0,0
24,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,27,1991,37,35,3176,4,4,0,0,9,0,0.11,0.11,0.23,0.11,0.23
25,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,21,1997,38,25,2326,6,4,0,0,7,1,0.23,0.15,0.39,0.23,0.39
26,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,27,1991,41,35,3151,1,2,0,0,5,0,0.03,0.06,0.09,0.03,0.09
27,Mike-Steven Bähre\Mike-Steven-Bahre,de GER,MF,Barnsley,23,1995,26,20,1617,1,3,0,0,3,0,0.06,0.17,0.22,0.06,0.22
28,Odin Bailey\Odin-Bailey,eng ENG,MF,Birmingham City,19,1999,6,0,90,1,0,0,0,1,0,1,0,1,1,1
29,Geraldo Bajrami\Geraldo-Bajrami,al ALB,DF,Birmingham City,19,1999,2,2,180,0,0,0,0,0,0,0,0,0,0,0
30,Nathan Baker\Nathan-Baker,eng ENG,DF,Bristol City,28,1991,34,33,2678,1,0,0,0,3,0,0.03,0,0.03,0.03,0.03
31,Sam Baldock\Sam-Baldock,eng ENG,FW,Reading,30,1989,24,12,1105,5,1,1,1,2,0,0.41,0.08,0.49,0.33,0.41
32,Dominic Ball\Dominic-Ball,eng ENG,MF,QPR,23,1995,31,30,2442,1,2,0,0,4,0,0.04,0.07,0.11,0.04,0.11
33,Norbert Balogh\Norbert-Balogh,hu HUN,FW,Hull City,23,1996,3,0,60,0,0,0,0,0,0,0,0,0,0,0
34,Leon Balogun\Leon-Balogun,ng NGA,DF,Wigan Athletic,31,1988,11,10,806,0,0,0,0,0,0,0,0,0,0,0
35,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,34,1985,6,1,104,0,0,0,0,0,0,0,0,0,0,0
36,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,25,1993,45,43,3445,16,2,2,3,4,0,0.42,0.05,0.47,0.37,0.42
37,Barry Bannan\Barry-Bannan,sco SCO,MF,Sheffield Weds,29,1989,44,42,3848,2,8,1,1,8,0,0.05,0.19,0.23,0.02,0.21
38,Shandon Baptiste\Shandon-Baptiste,gd GRN,MF,Brentford,21,1998,12,3,335,0,0,0,0,1,0,0,0,0,0,0
39,Yoann Barbet\Yoann-Barbet,fr FRA,DF,QPR,26,1993,27,27,2421,0,2,0,0,5,1,0,0.07,0.07,0,0.07
